name,latitude,longitude,dates,attenders,sites,pictures
Berwick upon Tweed,55.7718,-2.0076,14/06/2025;14/06/2025,Papa;Mama;Lesha;Oksana,Royal Border Bridge;Town Hall;Berwick Town Walls;Main Guard Museum;Berwick Beach Cliffs;Red Cliffs ,Berwick_25
Cheswick,55.705,-1.951,14/06/2025;15/06/2025,Papa;Lesha,Cheswick Sands,Cheswick_25
Farne Islands,55.631,-1.621,15/06/2025;15/06/2025,Papa;Mama;Lesha;Oksana,Seahouses; Farne Islands,FarneIslands_25
Bamburgh,55.607,-1.7167,15/06/2025;15/06/2025,Papa;Mama;Lesha;Oksana,Bamburgh Castle;Bamburgh Beach,Bamburgh_25
Abbotsford,55.5983,-2.7137,16/06/2025;16/06/2025,Papa;Mama;Lesha;Oksana,Abbotsford the home of Sir Walter Scott,Abbotsford_25
Manchester,53.4808,-2.2426,24/07/2025;27/07/2025,Papa;Mama;Lesha;Oksana,Science and Industry Museum;Albert Square;John Rylands Library;Northern Quarter;Castlefield Viaduct;Old Trafford;IWM North;The Vimto Park;Manchester Cathedral;National Football Museum;Piccadilly Gardens;Ancoats;Mayfield Park;Manchester Museum,Manchester_25
The Hague,52.0705,4.3007,10/07/2025;11/07/2025,Papa,Binnenhof;Scheveningen strand;Peace Palace,Hague_25
Leiden,52.1601,4.497,12/07/2025;12/07/2025,Papa,National Museum of Ethnology;Rembrandt statue,Leiden_25
Noordwijk,52.2425,4.4447,12/07/2025;12/07/2025,Papa,Strand Noordwijk Aan Zee,Noordwijk_25
Haarlem,52.3874,4.6462,13/07/2025;13/07/2025,Papa,Grote Markt;De Koepel;Frans Hals Museum;Pavilion Welgelegen;Haarlemmerhout;Saint Bavo of Ghent Catholic Cathedral,Haarlem_25
Utrecht,52.0907,5.1214,22/03/2025;22/03/2025,Papa,Dom Tower;Oudegracht canal;Miffy's Traffic Light;,Utrecht_25
Verlengde Paltzerweg,52.173,5.291,22/03/2025;22/03/2025,Papa,Nationaal Militair Museum,Verlengde_25
Woerden,52.085,4.883,23/03/2025;23/03/2025,Papa,Castle Woerden,Woerden_25
Gouda,52.0116,4.7105,23/03/2025;23/03/2025,Papa,Stadhuis van Gouda;Van Bergen Ijzendoornpark,Gouda_25
Edinburgh,55.9533,-3.1883,02/06/2025;02/06/2025,Papa,Castle Street; The Writer's Museum,Edinburgh_25
Cupar,56.3185,-3.0124,11/04/2025;11/04/2025,Papa;Mama;Lesha;Oksana,Cupar St Johns & Dairsie United Parish Church,Cupar_25
Bow of Fife,56.304263,-3.0883,11/04/2025;11/04/2025,Papa;Mama;Lesha;Oksana,The Scottish Deer Centre,BowOfFife_25
Dairsie Castle,56.333259,-2.94923,11/04/2025;11/04/2025,Papa;Mama;Lesha;Oksana,Dairsie Castle,DairsieCastle_25
Leuchars,56.3808,-2.8823,11/04/2025;11/04/2025,Papa;Mama;Lesha;Oksana,St. Athernase Church; Airstrip,Leuchars_25
St Andrews,56.3398,-2.7967,12/04/2025;12/04/2025,Papa;Mama;Lesha;Oksana,St Andrews Castle;University of St Andrews;St Andrews Cathedral;West Port Gate;St Andrews Museum;St Andrews Aquarium;West Sands Beach,StAndrews_25
Anstruther,56.2238,-2.7008,12/04/2025;12/04/2025,Papa;Mama;Lesha;Oksana,Anstruther Harbour,Anstruther_25
Kirkcaldy,56.1107,-3.1618,13/04/2025;13/04/2025,Papa;Mama;Lesha;Oksana,Sea Beams;Dysart Harbour;Ravenscraig Park;Coastal Turret;Ravenscraig Castle;Kirkcaldy Town House;Kirkcaldy Galleries,Kirkcaldy_25
Crathes Castle,57.0606,-2.4432,25/05/2025;25/05/2025,Papa;Mama;Lesha;Oksana,Crathes Castle,CrathesCastle_25
Alesund,62.4722,6.1549,18/03/2025;18/03/2025,Papa,Aksla Viewpoint;Brosundet;Atlantic Sea-Park,Alesund_25
London,51.5074,-0.1278,13/01/2025;16/01/2025,Papa,Shell building;Waterloo;Westminster,London_25
