name,latitude,longitude,dates,attenders,sites,pictures
Aberdeen,57.14453,-2.10645,02/01/2026;14/03/2026,Papa;Mama;Lesha;Oksana,Robert Gordon slope;Asda pitch;Aberdeen University,Aberdeen_26(1)
Aberdeen,57.14453,-2.10645,02/01/2026;14/03/2026,Papa;Mama;Lesha;Oksana,Seaton Park,Aberdeen_26(2)
Amsterdam,52.3782,4.8974,06/10/2024;10/10/2024,Papa,Shell building; Citi centre; Canals,Amsterdam_24
Glencoe,56.6823,-5.10398,16/07/2026;16/07/2026,Papa,The Pap of Glencoe;Stob Coire; Sgorr nam Fiannaidh,Glencoe_26
Glasgow,55.8642,-4.2518,17/07/2026;17/07/2026,Papa,City centre,Glasgow_26
Alanya,36.5466,31.983,16/07/2026;30/07/2026,Mama;Lesha;Oksana,Ataturk House Museum;Alanya Teleferik;Damlataş Cave,Alanya_26
Tashkent,41.31316,69.2469,01/02/2023;30/05/2023,Papa,State Museum of the History of Uzbekistan;Magic City Park;Chorsu Bozor;Tashkent Polytechnic Museum;Art Gallery of Uzbekistan;The Ankhor Star;Tashkent Zoo,Tashkent_23
Nukus,42.47103,59.6141,09/05/2023;10/05/2023,Papa,Savitsky Nukus Museum of Art,Nukus_23
Chilpiq qala,42.2661,60.0747,10/05/2023;10/05/2023,Papa,Chilpiq(Shilpiq) qala,Chilpiq_23
Khiva,41.3895,60.3542,07/05/2023;07/05/2023,Papa,Itchan Kala,Khiva_23
Moynaq,43.76624,59.02838,08/05/2023;08/05/2023,Papa,Muynak Ship Cemetery,Moynaq_23
Aral Sea,44.60892,58.28005,08/05/2023;08/05/2023,Papa,Big Aral;Amudarya delta,Aral_23
Ala Archa,42.6531,74.48649,18/04/2023;18/04/2023,Papa,Ala Archa National Park,AlaArcha_23
Issyk Kul,42.6544,76.9751,19/04/2023;19/04/2023,Papa,Nomad Civilization Center;Petroglyphs Museum;Cholpon Ata;Grigorievka Gorge;Mountains,IssukKul_23
Bishkek,42.8732,74.594,20/04/2023;20/04/2023,Papa,State History Museum;M V Frunze Museum;City centre,Bishkek_23
Almaty,43.24722,76.8792,21/04/2023;21/04/2023,Papa,Museum of Archeology;Ascension Cathedral;Independence Monument;Central Park;Kok Tobe;Central State Museum of the Republic of Kazakhstan,Almaty_23
Shymbulak,43.11332,77.1128,21/04/2023;21/04/2023,Papa,Cable car,Shymbulak_23
