name,latitude,longitude,dates,attenders,sites,pictures
Fort William,56.8198,-5.1052,30/08/2025;31/08/2025,Papa;Mama;Lesha;Oksana,West Highland Museum;Cameron Square;Old Inverlochy Castle;Neptune's Staircase;Caol beach,FortWilliam_25
Mallaig,57.0054,-5.83,30/08/2025;30/08/2025,Papa;Mama;Lesha;Oksana,Mallaig village;Glenfinnan Viaduct,Mallaig_25
Ben Nevis,56.7969,-5.0036,31/08/2025;31/08/2025,Papa;Mama;Lesha;Oksana,Visitor centre; Ben Nevis peak,BenNevis_25
Fort Augustus,57.1443,-4.6808,01/09/2025;01/09/2025,Papa;Mama;Lesha;Oksana,Loch Ness View Point;Fort Augustus Locks;Loch Ness and Fort Augustus viewpoint,FortAugustus_25
Urquhart Castle,57.324,-4.4413,01/09/2025;01/09/2025,Papa;Mama;Lesha;Oksana,Urquhart Castle,UrquhartCastle_25
Arbroath,56.5591,-2.5884,10/08/2025;10/08/2025,Papa;Mama;Lesha;Oksana,Arbroath Abbey;Signal Tower Museum;West Links Beach;Arbroath Cliffs,Arbroath_25
Fraserburgh,57.6922,-2.0059,25/08/2025;25/08/2025,Papa,Museum Of Scottish Lighthouses;Saltoun Square;Fraserburgh port,Fraserburgh_25
Heathhall ,55.0945,-3.584,03/05/2025;03/05/2025,Papa;Mama;Lesha;Oksana,Dumfries & Galloway Aviation Museum;The Little Bakery,Heathhall_25
Dumfries,55.0709,-3.6051,03/05/2025;06/05/2025,Papa;Mama;Lesha;Oksana,Robert Burns House;Robert Burns Statue;Dumfries Museum and Camera Obscura;Burns Mausoleum;Devorgilla Bridge;Kirkpatrick Macmillan Bridge;University of the West of Scotland;Crichton Memorial Church,Dumfries_25
Carlisle,54.8925,-2.9329,05/05/2025;05/05/2025,Papa;Mama;Lesha;Oksana,Carlisle Cathedral;Carlisle Castle;Cumbria's Museum of Military Life;Bitts Park;Tullie - Museum & Gallery;Rickerby Park;,Carlisle_25
Alloway,55.4276,-4.6525,06/05/2025;06/05/2025,Papa;Lesha;Oksana,Rozelle House;Burns Cottage;Robert Burns Birthplace Museum;Brig o'Doon;Burns Monument;Alloway Auld Kirk,Alloway_25
Air,55.4586,-4.6292,06/05/2025;06/05/2025,Papa;Lesha;Oksana,Ayr Beach,Ayr_25
Brechin,56.7326,-2.6576,20/04/2025;20/04/2025,Papa;Mama;Lesha;Oksana,Brechin Cathedral,Brechin_25
Montrose,56.7069,-2.4677,20/04/2025;20/04/2025,Papa;Mama;Lesha;Oksana,Montrose Basin Visitor Centre;Montrose Bridge;Ferryden Viaduct;Montrose Museum;Montrose Beach,Montrose_25
