name,latitude,longitude,dates,attenders,sites,pictures
Golspie,57.98397,-3.94468,04/07/2026;04/07/2026,Papa;Mama;Lesha;Oksana,Dunrobin Castle,Golspie_26
Brora,58.0107,-3.8525,04/07/2026;05/07/2026,Papa;Mama;Lesha;Oksana,Brora Escape;Brora Beach,Brora_26
Wick,58.4391,-3.0937,05/07/2026;05/07/2026,Papa;Mama;Lesha;Oksana,Castle Of Old Wick;Brig O' Stack;The Trinkie;Black Stairs;The Wick Heritage Museum;Ebenezer Place;North Cove,Wick_26
Duncansby,58.6376,-3.032938,06/07/2026;06/07/2026,Papa;Mama;Lesha;Oksana,Duncansby Stacks;Duncansby Head Lighthouse,Duncansby_26
John o’ Groats,58.64466,-3.07006,06/07/2026;06/07/2026,Papa;Mama;Lesha;Oksana,John o’ Groats Signpost,JohnoGroats_26
Thurso,58.5927,-3.5259,06/07/2026;11/07/2026,Papa;Mama;Lesha;Oksana,Old St. Peter’s Church;North Sea Pier;Thurso Beach;Victoria Walk;St. Peter’s and St. Andrew’s Church;,Thurso_26
Stromness,58.9648,-3.2967,07/07/2026;07/07/2026,Papa;Mama;Lesha;Oksana,Old Man of Hoy;Pier Arts Centre;Stromness Museum;Links Battery,Stromness_26
Stenness,58.9943,-3.20654,07/07/2026;07/07/2026,Papa;Mama;Lesha;Oksana,Standing Stones of Stenness;Watch Stone,Stenness_26
Kirkwall,58.9847,-2.9605,07/07/2026;11/07/2026,Papa;Mama;Lesha;Oksana,The Orkney Museum;St Magnus Cathedral,Kirkwall_26
Skaill,59.048436,-3.33909,08/07/2026;08/07/2026,Papa;Mama;Lesha;Oksana,Skara Brae Prehistoric Village;Skaill House;Skaill Beach,Skaill_26
Westrey,59.32273,-3.0086,09/07/2026;09/07/2026,Papa;Mama;Lesha;Oksana,Pierowall;Westray Heritage Trust;Noltland Castle;Noup Head Lighthouse;The Scaun;Westray Airport,Westrey_26
Lyness,58.8334,-3.196597,10/07/2026;10/07/2026,Papa;Mama;Lesha;Oksana,Scapa Flow Museum,Lyness_26
Scapa,58.96235,-2.97294,10/07/2026;10/07/2026,Papa,Scapa Beach,Scapa_26
Lambholm,58.8897,-2.893829,10/07/2026;10/07/2026,Papa,Churchill Barriers;Italian Chapel,Lambholm_26
Dunnet Head,58.6711,-3.37661,11/07/2026;11/07/2026,Papa;Mama;Lesha;Oksana,Dunnet Head Lighthouse,DunnetHead_26
Inverness,57.4778,-4.2247,11/07/2026;11/07/2026,Papa;Mama;Lesha;Oksana,Inverness Castle;High Street;Inverness War Memorial,Inverness_26
,,,,,,
,,,,,,
,,,,,,
,,,,,,
